SOUID,    DATE,   CC, Q_CC
105608,19850626,    7,    0
105608,19850627,    6,    0
105608,19850628,    7,    0
105608,19850629,    6,    0
105608,19850630,    7,    0
105608,19850701,    6,    0
105608,19850702,    5,    0
105608,19850703,    8,    0
105608,19850704,    4,    0
105608,19850705,    8,    0
105608,19850706,    4,    0
105608,19850707,    6,    0
105608,19850708,    8,    0
105608,19850709,    5,    0
105608,19850710,    7,    0
105608,19850711,    8,    0
105608,19850712,    7,    0
105608,19850713,    7,    0
105608,19850714,    6,    0
105608,19850715,    7,    0
105608,19850716,    7,    0
105608,19850717,    8,    0
105608,19850718,    7,    0
105608,19850719,    6,    0
105608,19850720,    6,    0
105608,19850721,    6,    0
105608,19850722,    6,    0
105608,19850723,    6,    0
105608,19850724,    8,    0
105608,19850725,    6,    0
105608,19850726,    7,    0
105608,19850727,    8,    0
105608,19850728,    8,    0
105608,19850729,    8,    0
105608,19850730,    7,    0
105608,19850731,    7,    0
105608,19850801,    6,    0
105608,19850802,    7,    0
105608,19850803,    7,    0
105608,19850804,    8,    0
105608,19850805,    6,    0
105608,19850806,    6,    0
105608,19850807,    7,    0
105608,19850808,    6,    0
105608,19850809,    6,    0
105608,19850810,    5,    0
105608,19850811,    8,    0
105608,19850812,    7,    0
105608,19850813,    7,    0
105608,19850814,    8,    0
105608,19850815,    8,    0
105608,19850816,    8,    0
105608,19850817,    5,    0
105608,19850818,    8,    0
105608,19850819,    8,    0
105608,19850820,    7,    0
105608,19850821,    8,    0
105608,19850822,    7,    0
105608,19850823,    8,    0
105608,19850824,    7,    0
105608,19850825,    7,    0
105608,19850826,    6,    0
105608,19850827,    8,    0
105608,19850828,    7,    0
105608,19850829,    8,    0
105608,19850830,    7,    0
105608,19850831,    8,    0
105608,19850901,    7,    0
105608,19850902,    8,    0
105608,19850903,    7,    0
105608,19850904,    7,    0
105608,19850905,    5,    0
105608,19850906,    3,    0
105608,19850907,    7,    0
105608,19850908,    8,    0
903162,19850909,    8,    0
105608,19850910,    6,    0
105608,19850911,    7,    0
105608,19850912,    4,    0
105608,19850913,    6,    0
105608,19850914,    7,    0
105608,19850915,    6,    0
105608,19850916,    8,    0
105608,19850917,    6,    0
105608,19850918,    8,    0
105608,19850919,    6,    0
105608,19850920,    6,    0
105608,19850921,    8,    0
105608,19850922,    8,    0
105608,19850923,    8,    0
105608,19850924,    7,    0
