 SOUID,    DATE,   QQ, Q_QQ
191076,19961128,    7,    0
191076,19961129,   27,    0
191076,19961130,   31,    0
191076,19961201,   11,    0
191076,19961202,   28,    0
191076,19961203,    5,    0
191076,19961204,   19,    0
191076,19961205,   32,    0
191076,19961206,   25,    0
191076,19961207,    6,    0
191076,19961208,    5,    0
191076,19961209,    5,    0
191076,19961210,    7,    0
191076,19961211,    5,    0
191076,19961212,   15,    0
191076,19961213,   33,    0
191076,19961214,    3,    0
191076,19961215,   15,    0
191076,19961216,    9,    0
191076,19961217,   26,    0
191076,19961218,    2,    0
191076,19961219,    6,    0
191076,19961220,    4,    0
191076,19961221,   13,    0
191076,19961222,   26,    0
191076,19961223,   16,    0
191076,19961224,   17,    0
191076,19961225,   17,    0
191076,19961226,   13,    0
191076,19961227,   32,    0
191076,19961228,   21,    0
191076,19961229,   18,    0
209967,19961230,   14,    0
191076,19961231,   17,    0
191076,19970101,   10,    0
191076,19970102,   15,    0
191076,19970103,   14,    0
191076,19970104,   10,    0
191076,19970105,   23,    0
191076,19970106,   19,    0
191076,19970107,   12,    0
191076,19970108,    8,    0
191076,19970109,   33,    0
191076,19970110,    8,    0
191076,19970111,    5,    0
191076,19970112,    4,    0
191076,19970113,    2,    0
191076,19970114,   14,    0
191076,19970115,    9,    0
191076,19970116,    6,    0
191076,19970117,    5,    0
191076,19970118,    6,    0
191076,19970119,    9,    0
191076,19970120,   37,    0
191076,19970121,   18,    0
191076,19970122,   14,    0
191076,19970123,    8,    0
191076,19970124,    3,    0
191076,19970125,    7,    0
191076,19970126,   12,    0
209967,19970127,   13,    0
191076,19970128,   58,    0
191076,19970129,   29,    0
191076,19970130,   57,    0
191076,19970131,   31,    0
209967,19970201,   14,    0
191076,19970202,   55,    0
209967,19970203,   15,    0
191076,19970204,   38,    0
191076,19970205,   20,    0
209967,19970206,   16,    0
191076,19970207,   69,    0
209967,19970208,   16,    0
191076,19970209,   26,    0
191076,19970210,   34,    0
191076,19970211,   42,    0
209967,19970212,   18,    0
191076,19970213,   34,    0
191076,19970214,   76,    0
191076,19970215,   73,    0
209967,19970216,   19,    0
209967,19970217,   20,    0
191076,19970218,   50,    0
209967,19970219,   21,    0
209967,19970220,   21,    0
191076,19970221,   67,    0
191076,19970222,   16,    0
191076,19970223,   66,    0
191076,19970224,   22,    0
191076,19970225,   89,    0
191076,19970226,   33,    0
209967,19970227,   24,    0
191076,19970228,   59,    0
209967,19970301,   28,    0
191076,19970302,   68,    0
