 SOUID,    DATE,   TN, Q_TN
100919,19980111,   24,    0
100919,19980112,   24,    0
100919,19980113,   45,    0
100919,19980114,   24,    0
100919,19980115,   15,    0
100919,19980116,    4,    0
100919,19980117,    3,    0
100919,19980118,   43,    1
100919,19980119,  -19,    0
100919,19980120,  -34,    0
100919,19980121,  -39,    0
100919,19980122,    1,    0
100919,19980123,   60,    1
100919,19980124,    6,    0
100919,19980125,  -19,    0
100919,19980126,  -18,    0
100919,19980127,  -54,    0
100919,19980128,  -71,    0
100919,19980129,  -61,    0
100919,19980130,  -44,    0
100919,19980131,   -7,    0
100919,19980201,    8,    0
100919,19980202,  -15,    0
100919,19980203,  -48,    0
100919,19980204,  -23,    0
100919,19980205,    6,    0
100919,19980206,   51,    0
100919,19980207,    7,    0
100919,19980208,   10,    0
100919,19980209,   60,    0
100919,19980210,   51,    0
100919,19980211,   54,    0
100919,19980212,   81,    0
100919,19980213,   82,    0
100919,19980214,   70,    0
100919,19980215,   70,    0
100919,19980216,   69,    0
100919,19980217,   19,    0
100919,19980218,   54,    0
100919,19980219,   53,    0
100919,19980220,   72,    1
100919,19980221,   36,    0
100919,19980222,   -1,    0
100919,19980223,   36,    0
100919,19980224,   85,    1
100919,19980225,   48,    0
100919,19980226,   53,    0
100919,19980227,   47,    1
100919,19980228,  -28,    0
100919,19980301,  -30,    0
100919,19980302,  -20,    0
100919,19980303,   19,    0
100919,19980304,    7,    0
100919,19980305,  -21,    0
100919,19980306,  -40,    0
100919,19980307,  -14,    0
100919,19980308,    9,    0
100919,19980309,  -56,    0
100919,19980310,  -27,    0
100919,19980311,   12,    0
100919,19980312,  -41,    0
100919,19980313,   -9,    0
100919,19980314,   20,    0
100919,19980315,   72,    0
100919,19980316,   72,    0
100919,19980317,   55,    0
100919,19980318,   40,    0
100919,19980319,  -21,    0
100919,19980320,   20,    0
100919,19980321,   50,    0
100919,19980322,   12,    0
100919,19980323,   36,    0
100919,19980324,   41,    0
100919,19980325,   39,    0
100919,19980326,   51,    0
100919,19980327,   28,    0
100919,19980328,   62,    0
100919,19980329,   71,    0
100919,19980330,   88,    0
100919,19980331,   70,    1
100919,19980401,   44,    0
100919,19980402,   28,    0
100919,19980403,   26,    0
100919,19980404,   48,    0
100919,19980405,   56,    0
100919,19980406,   42,    0
100919,19980407,   46,    0
100919,19980408,   43,    0
100919,19980409,    5,    0
100919,19980410,  -10,    0
100919,19980411,    3,    0
100919,19980412,  -17,    0
100919,19980413,  -14,    0
100919,19980414,  -56,    0
100919,19980415,  -48,    0
100919,19980416,  -62,    0
100919,19980417,   19,    0
100919,19980418,  -16,    0
100919,19980419,    2,    0
100919,19980420,   57,    0
100919,19980421,   16,    0
100919,19980422,   74,    0
100919,19980423,   74,    0
100919,19980424,   54,    0
100919,19980425,   57,    0
100919,19980426,   55,    0
100919,19980427,   43,    0
100919,19980428,  -12,    0
100919,19980429,   13,    0
100919,19980430,   57,    0
100919,19980501,   10,    0
100919,19980502,   -8,    0
100919,19980503,    7,    0
100919,19980504,   19,    0
100919,19980505,   50,    0
100919,19980506,   40,    0
100919,19980507,   72,    0
100919,19980508,   63,    0
100919,19980509,   78,    0
100919,19980510,   46,    0
100919,19980511,   60,    0
100919,19980512,   58,    0
100919,19980513,   80,    0
100919,19980514,   95,    0
100919,19980515,  123,    0
100919,19980516,   90,    0
100919,19980517,   77,    0
100919,19980518,   48,    0
100919,19980519,   47,    0
100919,19980520,   88,    0
100919,19980521,   77,    0
100919,19980522,   22,    0
100919,19980523,   42,    0
100919,19980524,   84,    0
100919,19980525,   92,    0
100919,19980526,   58,    0
100919,19980527,   42,    0
100919,19980528,   62,    0
100919,19980529,   90,    0
100919,19980530,   79,    0
100919,19980531,   71,    0
100919,19980601,   72,    0
100919,19980602,   57,    0
100919,19980603,   46,    0
100919,19980604,   50,    0
100919,19980605,   50,    0
100919,19980606,   80,    0
100919,19980607,   97,    0
100919,19980608,   82,    0
100919,19980609,   85,    0
100919,19980610,   89,    0
100919,19980611,   30,    0
100919,19980612,   -4,    0
100919,19980613,    3,    0
100919,19980614,   76,    0
100919,19980615,   77,    0
100919,19980616,   69,    0
100919,19980617,   -2,    0
100919,19980618,   44,    0
100919,19980619,  125,    0
100919,19980620,   65,    0
100919,19980621,  136,    0
100919,19980622,  101,    0
100919,19980623,  112,    0
100919,19980624,  128,    0
100919,19980625,  107,    0
100919,19980626,   98,    0
100919,19980627,   97,    0
100919,19980628,   79,    0
100919,19980629,   81,    0
100919,19980630,   96,    0
100919,19980701,   52,    0
100919,19980702,   95,    0
100919,19980703,   94,    0
100919,19980704,  122,    0
100919,19980705,  124,    0
100919,19980706,   61,    0
100919,19980707,   35,    0
100919,19980708,  102,    0
100919,19980709,  125,    0
100919,19980710,   84,    0
100919,19980711,   96,    0
100919,19980712,   95,    0
100919,19980713,   80,    0
100919,19980714,   98,    0
100919,19980715,   95,    0
100919,19980716,   82,    0
100919,19980717,   99,    0
100919,19980718,   82,    0
100919,19980719,   70,    0
100919,19980720,  105,    0
100919,19980721,  113,    0
